LoadType,Condition,Vrms,Irms,RealPower,PF
Incandescent,Healthy,230.4,0.4249,98.08,1
Incandescent,Healthy,231.8,0.4253,98.92,1
Incandescent,Healthy,232,0.4247,98.84,1
Incandescent,Healthy,230.5,0.4248,97.86,1
Incandescent,Healthy,232.3,0.4255,99.62,1
Incandescent,Healthy,230.2,0.4256,98.82,1
Incandescent,Healthy,229,0.4251,96.5,0.991
Incandescent,Healthy,230.9,0.425,96.88,0.986
Incandescent,Healthy,231.2,0.4251,97.22,0.989
Incandescent,Healthy,229.8,0.4249,95.84,0.981
Incandescent,Healthy,230.4,0.4252,96.91,0.988
Incandescent,Healthy,231.6,0.4248,97.41,0.991
Incandescent,Mild,229.8,0.4262,95.11,0.972
Incandescent,Mild,230.5,0.4268,94.88,0.965
Incandescent,Mild,231.2,0.4271,95.46,0.967
Incandescent,Mild,230.1,0.4265,94.17,0.958
Incandescent,Mild,229.4,0.4274,93.82,0.954
Incandescent,Mild,231,0.4268,95.63,0.971
Incandescent,Mild,232.1,0.427,96.11,0.972
Incandescent,Mild,229.9,0.4267,94.56,0.962
Incandescent,Moderate,229.2,0.4292,91.55,0.93
Incandescent,Moderate,230.8,0.4301,92.83,0.936
Incandescent,Moderate,231.4,0.4297,93.24,0.939
Incandescent,Moderate,230.1,0.4308,91.04,0.918
Incandescent,Moderate,229.7,0.431,90.87,0.916
Incandescent,Moderate,231.2,0.4302,92.76,0.933
Incandescent,Severe,228.8,0.4348,87.12,0.876
Incandescent,Severe,230.5,0.4351,88.41,0.882
Incandescent,Severe,231,0.436,86.95,0.863
Incandescent,Severe,229.6,0.4354,87.32,0.872
Incandescent,Severe,230.9,0.4365,88.26,0.875
LED,Healthy,228.6,0.0401,6.74,0.735
LED,Healthy,229.8,0.0401,6.84,0.742
LED,Healthy,230.4,0.0401,7.12,0.77
LED,Healthy,231.3,0.0402,7.21,0.776
LED,Healthy,231,0.04,6.89,0.745
LED,Healthy,225.8,0.0402,7.16,0.789
LED,Healthy,233.4,0.0402,7.34,0.782
LED,Healthy,230.3,0.0402,7.09,0.766
LED,Healthy,236.6,0.0403,7.34,0.771
LED,Healthy,230.1,0.0402,6.59,0.712
LED,Healthy,232.9,0.0402,7.23,0.772
LED,Healthy,230.8,0.0402,7.03,0.758
LED,Healthy,231,0.0403,7.07,0.761
LED,Healthy,225.6,0.0403,7.15,0.787
LED,Healthy,232.1,0.0403,7.18,0.768
LED,Healthy,231.5,0.0401,7.18,0.775
LED,Healthy,232.5,0.04,7.22,0.775
LED,Healthy,230.3,0.04,7.36,0.799
LED,Healthy,231.4,0.04,7.28,0.787
LED,Healthy,230.5,0.0402,8.3,0.896
LED,Healthy,229.9,0.0402,8.06,0.872
LED,Healthy,233.2,0.0402,8.41,0.899
LED,Healthy,231.9,0.0402,8.44,0.906
LED,Healthy,230.7,0.0402,8.41,0.906
LED,Healthy,231.2,0.0401,8.24,0.888
LED,Mild,229.4,0.041,7.28,0.772
LED,Mild,230.1,0.0412,7.41,0.78
LED,Mild,231.6,0.0411,7.36,0.773
LED,Mild,228.8,0.0413,7.09,0.751
LED,Mild,230.9,0.0414,7.58,0.794
LED,Mild,232.2,0.0412,7.46,0.782
LED,Mild,229.5,0.0415,7.21,0.757
LED,Mild,231,0.0413,7.63,0.799
LED,Moderate,229.8,0.0425,7.84,0.801
LED,Moderate,231.2,0.0428,8.01,0.809
LED,Moderate,232,0.0431,8.19,0.82
LED,Moderate,228.9,0.0429,7.72,0.785
LED,Moderate,230.4,0.0433,8.32,0.835
LED,Moderate,231.6,0.043,8.11,0.816
LED,Severe,229.4,0.0452,8.66,0.835
LED,Severe,230.8,0.0458,8.94,0.845
LED,Severe,231.9,0.0461,9.08,0.849
LED,Severe,228.7,0.0455,8.51,0.817
LED,Severe,232.4,0.0464,9.22,0.855
Fan,Healthy,225.6,0.3763,51.34,0.605
Fan,Healthy,240.1,0.4014,61.78,0.641
Fan,Healthy,241.4,0.3971,62.08,0.648
Fan,Healthy,240,0.3921,60.5,0.643
Fan,Healthy,240.8,0.3896,59.53,0.635
Fan,Healthy,239.6,0.3865,59.36,0.641
Fan,Healthy,241.2,0.3863,59.96,0.644
Fan,Healthy,240.4,0.3833,58.18,0.631
Fan,Healthy,241.3,0.38,59.54,0.649
Fan,Healthy,237.9,0.3796,57.04,0.632
Fan,Healthy,241.2,0.3777,57.86,0.635
Fan,Healthy,239.7,0.3787,58.4,0.643
Fan,Healthy,242.1,0.3789,59.2,0.645
Fan,Healthy,240.9,0.3775,58.85,0.647
Fan,Healthy,242.6,0.3776,58.89,0.643
Fan,Healthy,241.9,0.377,59.14,0.649
Fan,Healthy,242.6,0.3754,58.98,0.648
Fan,Healthy,240.3,0.3758,58.26,0.645
Fan,Healthy,223.6,0.3694,53.38,0.646
Fan,Healthy,223.5,0.3701,53.12,0.642
Fan,Healthy,223.9,0.3689,53.36,0.646
Fan,Healthy,221.2,0.3697,53.18,0.65
Fan,Healthy,222.5,0.3688,53.29,0.65
Fan,Healthy,222.3,0.3693,53.29,0.649
Fan,Healthy,220.8,0.3708,52.31,0.639
Fan,Mild,223.4,0.3812,54.91,0.644
Fan,Mild,224.1,0.3826,55.42,0.646
Fan,Mild,222.8,0.3831,55.66,0.651
Fan,Mild,223.9,0.3842,56.04,0.652
Fan,Mild,224.5,0.3838,55.91,0.649
Fan,Mild,222.9,0.3827,55.31,0.647
Fan,Mild,223.6,0.3844,56.42,0.656
Fan,Mild,224.2,0.3851,56.8,0.658
Fan,Moderate,223,0.3975,58.21,0.656
Fan,Moderate,224.4,0.4012,59.62,0.662
Fan,Moderate,223.7,0.4041,60.18,0.665
Fan,Moderate,224.8,0.4064,61.02,0.668
Fan,Moderate,222.9,0.4035,59.31,0.659
Fan,Moderate,223.5,0.4057,60.44,0.666
Fan,Severe,223.2,0.4261,63.84,0.671
Fan,Severe,224,0.4298,65.22,0.677
Fan,Severe,222.5,0.4324,66.18,0.686
Fan,Severe,223.7,0.4355,67.41,0.692
Fan,Severe,224.4,0.4382,68.2,0.695
LED,Healthy,228.6,0.0401,6.74,0.735
LED,Healthy,229.8,0.0401,6.84,0.742
LED,Healthy,230.4,0.0401,7.12,0.77
LED,Healthy,231.3,0.0402,7.21,0.776
LED,Healthy,231,0.04,6.89,0.745
LED,Healthy,228.5,0.0401,6.76,0.737
LED,Healthy,225.8,0.0402,7.16,0.789
LED,Healthy,231,0.0402,7.26,0.782
LED,Healthy,224.7,0.0403,6.78,0.749
LED,Healthy,230.5,0.0402,6.78,0.731
LED,Healthy,233.4,0.0402,7.34,0.782
LED,Healthy,231.8,0.0402,7.01,0.753
LED,Healthy,230.3,0.0402,7.09,0.766
LED,Healthy,229.1,0.0403,6.99,0.758
LED,Healthy,236.6,0.0403,7.34,0.771
LED,Healthy,230.1,0.0402,6.59,0.712
LED,Healthy,229.1,0.0402,7.02,0.762
LED,Healthy,231.4,0.0402,6.95,0.748
LED,Healthy,232.9,0.0402,7.23,0.772
LED,Healthy,226.9,0.0403,6.7,0.733
LED,Healthy,231.8,0.0402,7.01,0.753
LED,Healthy,230.3,0.0402,7.09,0.766
LED,Healthy,229.1,0.0403,6.99,0.758
LED,Healthy,236.6,0.0403,7.34,0.771
LED,Healthy,230.1,0.0402,6.59,0.712
LED,Healthy,229.1,0.0402,7.02,0.762
LED,Healthy,231.4,0.0402,6.95,0.748
LED,Healthy,232.9,0.0402,7.23,0.772
LED,Healthy,226.9,0.0403,6.7,0.733
LED,Healthy,230.8,0.0402,7.03,0.758
LED,Healthy,231,0.0403,7.07,0.761
LED,Healthy,228.7,0.0402,6.86,0.745
LED,Healthy,230.1,0.0402,7.04,0.761
LED,Healthy,230.6,0.0402,7.14,0.769
LED,Healthy,230.2,0.0402,6.69,0.722
LED,Healthy,233.3,0.0403,7.2,0.766
LED,Healthy,231,0.0403,7.14,0.768
LED,Healthy,225.6,0.0403,7.15,0.787
LED,Healthy,228.5,0.0403,6.89,0.748
LED,Healthy,230.5,0.0403,6.9,0.742
LED,Healthy,232.1,0.0402,6.91,0.74
LED,Healthy,231.4,0.0402,7.04,0.756
LED,Healthy,232.1,0.0403,7.18,0.768
LED,Healthy,231.9,0.0402,7.16,0.767
LED,Healthy,230.6,0.0402,7.14,0.769
LED,Healthy,230.2,0.0402,6.69,0.722
LED,Healthy,233.3,0.0403,7.2,0.766
LED,Healthy,231,0.0403,7.14,0.768
LED,Healthy,225.6,0.0403,7.15,0.787
LED,Healthy,228.5,0.0403,6.89,0.748
LED,Healthy,230.5,0.0403,6.9,0.742
LED,Healthy,232.1,0.0402,6.91,0.74
LED,Healthy,231.4,0.0402,7.04,0.756
LED,Healthy,232.1,0.0403,7.18,0.768
LED,Healthy,231.9,0.0402,7.16,0.767
LED,Healthy,231.1,0.0402,6.77,0.728
LED,Healthy,230.2,0.0403,6.76,0.729
LED,Healthy,228.7,0.0403,6.82,0.741
LED,Healthy,230.3,0.0403,7.05,0.76
LED,Healthy,230.4,0.0403,7.02,0.757
LED,Healthy,228.1,0.0403,6.82,0.743
LED,Healthy,229.9,0.0402,6.91,0.747
LED,Healthy,231.5,0.0402,7.16,0.77
LED,Healthy,231.7,0.0403,6.92,0.742
LED,Healthy,230.1,0.0403,6.93,0.748
LED,Healthy,229,0.0402,7,0.76
LED,Healthy,228.4,0.0402,6.92,0.752
LED,Healthy,230.3,0.0403,7.05,0.76
LED,Healthy,228.4,0.0403,6.87,0.747
LED,Healthy,228.4,0.0402,6.92,0.752
LED,Healthy,230.3,0.0403,7.05,0.76
LED,Healthy,228.4,0.0403,6.87,0.747
LED,Healthy,228.9,0.0402,6.96,0.757
LED,Healthy,232.3,0.0402,7.15,0.766
LED,Healthy,228.9,0.0403,6.83,0.741
LED,Healthy,232.5,0.0402,7.26,0.776
LED,Healthy,229.9,0.0402,6.8,0.735
LED,Healthy,231.6,0.0403,7.16,0.767
LED,Healthy,227.6,0.0403,6.9,0.753
LED,Healthy,228.5,0.0403,7.02,0.763
LED,Healthy,229.4,0.0402,6.98,0.757
LED,Healthy,231.3,0.0403,7.11,0.763
LED,Healthy,229.6,0.0402,7.08,0.767
LED,Healthy,227.1,0.0402,6.96,0.761
LED,Healthy,229.2,0.0402,7.16,0.776
LED,Healthy,230.3,0.0402,6.95,0.751
LED,Healthy,228.6,0.0402,7.12,0.774
LED,Healthy,230.3,0.0402,6.97,0.754
LED,Healthy,230.9,0.0402,7.11,0.767
LED,Healthy,228.7,0.0402,6.65,0.722
LED,Healthy,233,0.0403,7.07,0.753
LED,Healthy,228.8,0.04,6.98,0.763
LED,Healthy,230.9,0.04,6.94,0.752
LED,Healthy,229.4,0.0402,6.98,0.757
LED,Healthy,231.3,0.0403,7.11,0.763
LED,Healthy,229.6,0.0402,7.08,0.767
LED,Healthy,227.1,0.0402,6.96,0.761
LED,Healthy,229.2,0.0402,7.16,0.776
LED,Healthy,230.3,0.0402,6.95,0.751
LED,Healthy,228.6,0.0402,7.12,0.774
LED,Healthy,230.3,0.0402,6.97,0.754
LED,Healthy,230.9,0.0402,7.11,0.767
LED,Healthy,228.7,0.0402,6.65,0.722
LED,Healthy,233,0.0403,7.07,0.753
LED,Healthy,228.8,0.04,6.98,0.763
LED,Healthy,230.9,0.04,6.94,0.752
LED,Healthy,232.6,0.0401,7.16,0.768
LED,Healthy,230.1,0.0402,6.81,0.737
LED,Healthy,232.7,0.0401,7.19,0.77
LED,Healthy,230.6,0.0401,6.79,0.735
LED,Healthy,234,0.0401,7.25,0.773
LED,Healthy,230.4,0.0401,6.8,0.736
LED,Healthy,231.4,0.0401,7.18,0.775
LED,Healthy,231.5,0.0401,6.72,0.724
LED,Healthy,228.9,0.04,7.01,0.765
LED,Healthy,232,0.04,7.2,0.775
LED,Healthy,228.7,0.0401,6.73,0.735
LED,Healthy,232.6,0.04,7.03,0.755
LED,Healthy,229.9,0.04,6.84,0.744
LED,Healthy,230.2,0.04,6.77,0.735
LED,Healthy,227.9,0.04,7.09,0.778
LED,Healthy,232.5,0.04,7.22,0.775
LED,Healthy,233.4,0.04,7.37,0.789
LED,Healthy,232.6,0.04,7.03,0.755
LED,Healthy,229.9,0.04,6.84,0.744
LED,Healthy,230.2,0.04,6.77,0.735
LED,Healthy,227.9,0.04,7.09,0.778
LED,Healthy,232.5,0.04,7.22,0.775
LED,Healthy,233.4,0.04,7.37,0.789
LED,Healthy,231.2,0.0401,6.86,0.74
LED,Healthy,229.1,0.04,6.75,0.737
LED,Healthy,231,0.04,6.98,0.755
LED,Healthy,231.4,0.04,7.28,0.787
LED,Healthy,232.5,0.04,7.18,0.773
LED,Healthy,230.7,0.04,6.86,0.742
LED,Healthy,228,0.04,6.77,0.743
LED,Healthy,230.3,0.04,7.16,0.777
LED,Healthy,231.4,0.0399,6.99,0.757
LED,Healthy,230.2,0.0399,6.86,0.747
LED,Healthy,229.3,0.0399,6.86,0.749
LED,Healthy,230.2,0.04,7.2,0.782
LED,Healthy,230.9,0.0399,7.17,0.777
LED,Healthy,230.8,0.04,7.18,0.778
LED,Healthy,231.1,0.0401,6.93,0.748
LED,Healthy,231.4,0.0401,6.93,0.747
LED,Healthy,228.9,0.0401,6.8,0.741
LED,Healthy,229.3,0.04,7,0.762
LED,Healthy,232.1,0.0401,7.23,0.778
LED,Healthy,232.4,0.04,7.07,0.761
LED,Healthy,231.4,0.0399,6.99,0.757
LED,Healthy,230.2,0.0399,6.86,0.747
LED,Healthy,229.3,0.0399,6.86,0.749
LED,Healthy,230.2,0.04,7.2,0.782
LED,Healthy,230.9,0.0399,7.17,0.777
LED,Healthy,230.8,0.04,7.18,0.778
LED,Healthy,231.1,0.0401,6.93,0.748
LED,Healthy,231.4,0.0401,6.93,0.747
LED,Healthy,228.9,0.0401,6.8,0.741
LED,Healthy,229.3,0.04,7,0.762
LED,Healthy,232.1,0.0401,7.23,0.778
LED,Healthy,232.4,0.04,7.07,0.761
LED,Healthy,229.9,0.0401,6.86,0.744
LED,Healthy,231.3,0.0401,7.16,0.772
LED,Healthy,232,0.04,7.02,0.756
LED,Healthy,230.2,0.04,6.8,0.738
LED,Healthy,226.7,0.04,6.82,0.752
LED,Healthy,230.5,0.04,7.04,0.762
LED,Healthy,235.7,0.04,7.12,0.755
LED,Healthy,232.7,0.0401,6.8,0.729
LED,Healthy,229.3,0.0401,6.89,0.75
LED,Healthy,228.6,0.0401,6.85,0.748
LED,Healthy,229,0.04,7.05,0.769
LED,Healthy,230.3,0.04,7.36,0.799
LED,Healthy,232.5,0.0399,7.12,0.767
LED,Healthy,229.7,0.04,6.91,0.754
LED,Healthy,229.7,0.04,6.73,0.733
LED,Healthy,228.5,0.04,6.71,0.735
LED,Healthy,228.6,0.04,6.96,0.761
LED,Healthy,231,0.04,7.18,0.778
LED,Healthy,231.9,0.04,7.17,0.774
LED,Healthy,231.4,0.0401,7.18,0.775
LED,Healthy,231.5,0.0401,6.72,0.724
LED,Healthy,228.9,0.04,7.01,0.765
LED,Healthy,232,0.04,7.2,0.775
LED,Healthy,228.7,0.0401,6.73,0.735
LED,Healthy,232.6,0.04,7.03,0.755
LED,Healthy,229.9,0.04,6.84,0.744
LED,Healthy,230.2,0.04,6.77,0.735
LED,Healthy,227.9,0.04,7.09,0.778
LED,Healthy,232.5,0.04,7.22,0.775
LED,Healthy,233.4,0.04,7.37,0.789
LED,Healthy,231.2,0.0401,6.86,0.74
LED,Healthy,229.1,0.04,6.75,0.737
LED,Healthy,231,0.04,6.98,0.755
LED,Healthy,231.4,0.04,7.28,0.787
LED,Healthy,232.5,0.04,7.18,0.773
LED,Healthy,230.7,0.04,6.86,0.742
LED,Healthy,228,0.04,6.77,0.743
LED,Healthy,230.3,0.04,7.16,0.777
LED,Healthy,231.4,0.0399,6.99,0.757
LED,Healthy,230.2,0.0399,6.86,0.747
LED,Healthy,229.3,0.0399,6.86,0.749
LED,Healthy,230.2,0.04,7.2,0.782
LED,Healthy,230.9,0.0399,7.17,0.777
LED,Healthy,230.8,0.04,7.18,0.778
LED,Healthy,231.1,0.0401,6.93,0.748
LED,Healthy,231.4,0.0401,6.93,0.747
LED,Healthy,228.9,0.0401,6.8,0.741
LED,Healthy,229.3,0.04,7,0.762
LED,Healthy,232.1,0.0401,7.23,0.778
LED,Healthy,232.4,0.04,7.07,0.761
LED,Healthy,229.9,0.0401,6.86,0.744
LED,Healthy,231.9,0.0399,7.11,0.768
LED,Healthy,230.7,0.0399,7.2,0.783
LED,Healthy,233.9,0.04,7.11,0.761
LED,Healthy,230.9,0.04,6.7,0.726
LED,Healthy,226.4,0.0401,6.72,0.74
LED,Healthy,231.4,0.0402,7.13,0.767
LED,Healthy,231.4,0.0401,7.03,0.758
LED,Healthy,229.4,0.0401,6.68,0.726
LED,Healthy,231.1,0.0401,7.12,0.769
LED,Healthy,229.6,0.0401,7.22,0.784
LED,Healthy,226.5,0.0401,6.62,0.728
LED,Healthy,230.7,0.04,7.3,0.791
LED,Healthy,231.6,0.04,7,0.756
LED,Healthy,229.6,0.04,7.04,0.766
LED,Healthy,231.2,0.04,7,0.756
LED,Healthy,231.5,0.04,7.31,0.789
LED,Healthy,230.8,0.0401,7.03,0.76
LED,Healthy,229.9,0.0401,6.76,0.733
LED,Healthy,230.7,0.04,7.1,0.769
LED,Healthy,232,0.0399,7.24,0.781
LED,Healthy,232.8,0.0399,7.23,0.778
LED,Healthy,233.5,0.04,6.84,0.733
LED,Healthy,228.3,0.04,6.72,0.737
LED,Healthy,231.1,0.0401,7.11,0.767
LED,Healthy,231.4,0.04,7.26,0.784
LED,Healthy,231.3,0.0399,6.92,0.749
LED,Healthy,230,0.04,6.83,0.742
LED,Healthy,230.8,0.04,7.13,0.772
LED,Healthy,231.3,0.0401,7.05,0.761
LED,Healthy,230.5,0.0401,6.56,0.709
LED,Healthy,231.5,0.04,6.91,0.745
LED,Healthy,229.6,0.0399,6.88,0.75
LED,Healthy,230.5,0.0402,8.3,0.896
LED,Healthy,229.9,0.0402,8.06,0.872
LED,Healthy,233.2,0.0402,8.41,0.899
LED,Healthy,227.9,0.0402,7.9,0.862
LED,Healthy,232.9,0.0402,8.41,0.897
LED,Healthy,229.1,0.0402,7.92,0.861
LED,Healthy,230.6,0.0402,8.46,0.913
LED,Healthy,231,0.0402,7.91,0.851
LED,Healthy,231,0.0402,7.99,0.861
LED,Healthy,229.3,0.0402,8.23,0.893
LED,Healthy,231.3,0.0402,8.01,0.861
LED,Healthy,230.6,0.0402,8.01,0.864
LED,Healthy,231.8,0.0401,8.3,0.893
LED,Healthy,227,0.0402,7.86,0.861
LED,Healthy,232.1,0.0402,8.28,0.886
LED,Healthy,227.1,0.0402,7.95,0.871
LED,Healthy,229.6,0.0402,8.11,0.878
LED,Healthy,228.7,0.0403,8.12,0.882
LED,Healthy,231.9,0.0402,8.44,0.906
LED,Healthy,231.2,0.0402,8.18,0.881
LED,Healthy,229,0.0402,8.02,0.87
LED,Healthy,228.4,0.0402,7.9,0.861
LED,Healthy,229.6,0.0403,8.02,0.868
LED,Healthy,229.4,0.0403,8.29,0.897
LED,Healthy,228.9,0.0403,8.26,0.897
LED,Healthy,231.6,0.0403,8.49,0.91
LED,Healthy,238.9,0.0402,8.54,0.888
LED,Healthy,231.2,0.0402,8.1,0.871
LED,Healthy,230,0.0402,7.97,0.863
LED,Healthy,229.7,0.0403,8.22,0.889
LED,Healthy,226.2,0.0403,8.03,0.881
LED,Healthy,230.2,0.0403,8.07,0.87
LED,Healthy,230.5,0.0402,8.14,0.878
LED,Healthy,230.4,0.0402,8.17,0.882
LED,Healthy,230.2,0.0402,8.21,0.886
LED,Healthy,230.8,0.0403,8.19,0.882
LED,Healthy,230.5,0.0402,8.42,0.907
LED,Healthy,233.4,0.0402,8.22,0.877
LED,Healthy,226.5,0.0402,8.15,0.895
LED,Healthy,231.5,0.0402,8.22,0.883
LED,Healthy,230.7,0.0402,8.28,0.893
LED,Healthy,229.2,0.0402,8.16,0.886
LED,Healthy,229.5,0.0402,8.15,0.883
LED,Healthy,230.2,0.0402,8.36,0.903
LED,Healthy,231.3,0.0402,8.21,0.882
LED,Healthy,228.5,0.0402,8.18,0.889
LED,Healthy,230.1,0.0402,8.18,0.884
LED,Healthy,231.2,0.0402,8.28,0.89
LED,Healthy,230.8,0.0402,8.23,0.887
LED,Healthy,230.1,0.0402,8.23,0.891
LED,Healthy,229.6,0.0402,8.26,0.895
LED,Healthy,230.4,0.0402,8.21,0.888
LED,Healthy,231.1,0.0402,7.97,0.858
LED,Healthy,230.5,0.0402,8.21,0.886
LED,Healthy,230.8,0.0402,8.38,0.904
LED,Healthy,227.9,0.0402,8.31,0.907
LED,Healthy,229.4,0.0402,8.11,0.879
LED,Healthy,230.2,0.0402,8.25,0.891
LED,Healthy,231.1,0.0402,8.17,0.879
LED,Healthy,230.1,0.0402,8.18,0.884
LED,Healthy,230.5,0.0402,8.14,0.878
LED,Healthy,230.6,0.0403,8.18,0.881
LED,Healthy,229.4,0.0402,8.02,0.87
LED,Healthy,234,0.0401,8.49,0.905
LED,Healthy,233.8,0.0402,8.02,0.852
LED,Healthy,226.9,0.0402,8.09,0.887
LED,Healthy,230.7,0.0403,8.2,0.882
LED,Healthy,232.4,0.0402,8.26,0.883
LED,Healthy,230.5,0.0402,8.38,0.905
LED,Healthy,230.9,0.0402,8.41,0.907
LED,Healthy,231.8,0.0402,8.37,0.899
LED,Healthy,230.9,0.0402,8.44,0.91
LED,Healthy,229.7,0.0402,8.23,0.891
LED,Healthy,229.8,0.0401,8.05,0.874
LED,Healthy,231.1,0.0403,8.18,0.88
LED,Healthy,225.8,0.0402,8.16,0.899
LED,Healthy,228.6,0.0402,8.12,0.885
LED,Healthy,230.3,0.0402,8.09,0.874
LED,Healthy,230.1,0.0401,8.37,0.906
LED,Healthy,230.2,0.0402,8.25,0.891
LED,Healthy,230.4,0.0402,8.1,0.875
LED,Healthy,230.6,0.0402,8.21,0.884
LED,Healthy,231.2,0.0402,8.39,0.902
LED,Healthy,230.2,0.0402,8.23,0.889
LED,Healthy,229.2,0.0402,8.12,0.881
LED,Healthy,231.4,0.0403,8.4,0.901
LED,Healthy,230.2,0.0402,8.25,0.891
LED,Healthy,230.4,0.0402,8.1,0.875
LED,Healthy,230.6,0.0402,8.21,0.884
LED,Healthy,231.2,0.0402,8.39,0.902
LED,Healthy,230.2,0.0402,8.23,0.889
LED,Healthy,229.2,0.0402,8.12,0.881
LED,Healthy,231.4,0.0403,8.4,0.901
LED,Healthy,230.7,0.0402,8.39,0.905
LED,Healthy,231.3,0.0403,8.22,0.882
LED,Healthy,229.4,0.0403,7.97,0.862
LED,Healthy,230.8,0.0401,8.37,0.904
LED,Healthy,229.7,0.0402,8.1,0.876
LED,Healthy,230.7,0.0403,8.17,0.88
LED,Healthy,230.6,0.0402,8.37,0.903
LED,Healthy,228.9,0.0402,8.03,0.873
LED,Healthy,228.3,0.0402,7.99,0.872
LED,Healthy,229.2,0.0402,8.19,0.888
LED,Healthy,230.7,0.0402,8.41,0.906
LED,Healthy,231.7,0.0402,8.36,0.897
LED,Healthy,231.1,0.0403,8.09,0.87
LED,Healthy,227.8,0.0402,7.99,0.873
LED,Healthy,231,0.0402,8.37,0.901
LED,Healthy,232.1,0.0402,8.19,0.877
LED,Healthy,228,0.0402,8,0.872
LED,Healthy,230.3,0.0401,8.3,0.899
LED,Healthy,231,0.0402,8.18,0.882
LED,Healthy,229,0.0401,8.09,0.88
LED,Healthy,231.2,0.0401,8.24,0.888
Fan,Healthy,225.6,0.3763,51.34,0.605
Fan,Healthy,240.1,0.4014,61.78,0.641
Fan,Healthy,241.4,0.3971,62.08,0.648
Fan,Healthy,241.5,0.3937,61.33,0.645
Fan,Healthy,240.3,0.3936,60.67,0.641
Fan,Healthy,240,0.3921,60.5,0.643
Fan,Healthy,240.3,0.3908,60.68,0.646
Fan,Healthy,240.9,0.3902,60.52,0.644
Fan,Healthy,240.4,0.3899,60.15,0.642
Fan,Healthy,240.7,0.3902,60.08,0.64
Fan,Healthy,240.8,0.3896,59.53,0.635
Fan,Healthy,240,0.3882,59.17,0.635
Fan,Healthy,240.7,0.3876,59.56,0.639
Fan,Healthy,240.5,0.3873,58.97,0.633
Fan,Healthy,239.4,0.3871,58.89,0.635
Fan,Healthy,239.6,0.3865,59.36,0.641
Fan,Healthy,241.2,0.3863,59.96,0.644
Fan,Healthy,241.7,0.3854,59.86,0.643
Fan,Healthy,240.3,0.3857,59.34,0.64
Fan,Healthy,240.4,0.3833,58.18,0.631
Fan,Healthy,240.2,0.3831,58.36,0.634
Fan,Healthy,240.9,0.3836,59.01,0.638
Fan,Healthy,241.8,0.3822,59.2,0.64
Fan,Healthy,241.1,0.3821,59.47,0.646
Fan,Healthy,238.6,0.3824,58.32,0.639
Fan,Healthy,239.7,0.3806,57.43,0.629
Fan,Healthy,241.3,0.38,59.54,0.649
Fan,Healthy,238.3,0.3803,56.96,0.629
Fan,Healthy,241.9,0.3805,59.73,0.649
Fan,Healthy,237.9,0.3796,57.04,0.632
Fan,Healthy,241.9,0.3792,58.91,0.642
Fan,Healthy,239.1,0.3784,58.11,0.642
Fan,Healthy,241.2,0.3777,57.86,0.635
Fan,Healthy,238.8,0.3784,57.79,0.639
Fan,Healthy,241.7,0.3784,58.41,0.639
Fan,Healthy,239.7,0.3787,58.4,0.643
Fan,Healthy,239.6,0.3782,57.03,0.629
Fan,Healthy,242.1,0.3789,59.2,0.645
Fan,Healthy,238,0.3778,56.95,0.633
Fan,Healthy,242.3,0.3788,58.82,0.641
Fan,Healthy,238.3,0.3777,57.64,0.641
Fan,Healthy,241.5,0.3768,57.56,0.632
Fan,Healthy,240.9,0.3775,58.85,0.647
Fan,Healthy,238.8,0.3774,56.73,0.63
Fan,Healthy,241,0.378,57.89,0.635
Fan,Healthy,242.3,0.3774,59.37,0.649
Fan,Healthy,238.3,0.3777,57.36,0.637
Fan,Healthy,240.8,0.3781,57.59,0.632
Fan,Healthy,242.6,0.3776,58.89,0.643
Fan,Healthy,239.1,0.3756,57.89,0.644
Fan,Healthy,239.5,0.3754,56.45,0.628
Fan,Healthy,241.2,0.3762,57.76,0.637
Fan,Healthy,241.9,0.377,59.14,0.649
Fan,Healthy,241.7,0.3784,58.41,0.639
Fan,Healthy,239.7,0.3787,58.4,0.643
Fan,Healthy,239.6,0.3782,57.03,0.629
Fan,Healthy,242.1,0.3789,59.2,0.645
Fan,Healthy,238,0.3778,56.95,0.633
Fan,Healthy,242.3,0.3788,58.82,0.641
Fan,Healthy,238.3,0.3777,57.64,0.641
Fan,Healthy,241.5,0.3768,57.56,0.632
Fan,Healthy,240.9,0.3775,58.85,0.647
Fan,Healthy,238.8,0.3774,56.73,0.63
Fan,Healthy,241,0.378,57.89,0.635
Fan,Healthy,242.3,0.3774,59.37,0.649
Fan,Healthy,238.3,0.3777,57.36,0.637
Fan,Healthy,240.8,0.3781,57.59,0.632
Fan,Healthy,242.6,0.3776,58.89,0.643
Fan,Healthy,239.1,0.3756,57.89,0.644
Fan,Healthy,239.5,0.3754,56.45,0.628
Fan,Healthy,241.2,0.3762,57.76,0.637
Fan,Healthy,241.9,0.377,59.14,0.649
Fan,Healthy,238.5,0.3769,56.8,0.632
Fan,Healthy,241.4,0.3774,57.73,0.634
Fan,Healthy,242.6,0.3772,58.88,0.643
Fan,Healthy,239.5,0.3763,58,0.643
Fan,Healthy,239.4,0.3749,56.48,0.629
Fan,Healthy,241.4,0.3757,57.64,0.636
Fan,Healthy,242.6,0.3754,58.98,0.648
Fan,Healthy,238.9,0.3762,57.27,0.637
Fan,Healthy,240.5,0.3768,57.09,0.63
Fan,Healthy,242.7,0.3766,58.49,0.64
Fan,Healthy,240.3,0.3758,58.26,0.645
