LoadType,Condition,Vrms,Irms,RealPower,PF,ApparentPower,SP_Ratio,CurrentPerWatt,PF_Drift,Current_Drift,Power_Drift,RollingMean_Power,RollingMean_PF,RollingMean_Current,RollingStd_Power,RollingStd_PF,RollingStd_Current,Target_Next_Power
1,0,231.1,0.425,95.31,0.97,98.2175,1.030505718182772,0.00445913335431749,-0.006000000000000005,-0.00040000000000001146,-0.5999999999999943,96.188,0.9782,0.42508,2.1486321230029084,0.012969194269498798,0.0003563705936241072,95.02
1,0,230.5,0.4251,95.02,0.97,97.98554999999999,1.0312097453167755,0.00447379499052831,0.0,9.999999999998899e-05,-0.29000000000000625,96.362,0.9788,0.42516,1.970144664739114,0.01237739875741266,0.0002880972058177779,94.73
1,0,229.4,0.4255,94.73,0.97,97.6097,1.0303990288187481,0.004491713290404307,0.0,0.00040000000000001146,-0.28999999999999204,95.342,0.9728,0.4253,0.4899693867988209,0.0038987177379238677,0.00023452078799121888,96.24
1,0,230.8,0.4248,96.24,0.982,98.04384,1.0187431421446385,0.004413965087281796,0.01200000000000001,-0.0006999999999999784,1.509999999999991,95.44200000000001,0.9736,0.42516,0.6241554293603547,0.005366563145999672,0.0002880972058177779,96.4
1,0,230.8,0.425,96.4,0.983,98.09,1.0175311203319501,0.004408713692946058,0.0010000000000000009,0.00019999999999997797,0.1600000000000108,95.53999999999999,0.975,0.42508,0.7431352501395734,0.006855654600401131,0.00025884358211090996,95.97
1,0,230.6,0.4251,95.97,0.979,98.02806,1.0214448265082838,0.00442950922163176,-0.0040000000000000036,9.999999999998899e-05,-0.4300000000000068,95.672,0.9768000000000001,0.42510000000000003,0.750646388121597,0.006379655163094641,0.0002549509756796578,96.58
1,0,231.5,0.4247,96.58,0.982,98.31805,1.017995961896873,0.004397390764133361,0.0030000000000000027,-0.00039999999999995595,0.6099999999999994,95.98400000000001,0.9792,0.42501999999999995,0.7359551616776503,0.005357238094391431,0.00031144823004794015,96.57
1,0,230.7,0.4252,96.57,0.984,98.09364,1.0157775706741223,0.004403023713368541,0.0020000000000000018,0.0005000000000000004,-0.010000000000005116,96.352,0.982,0.42496,0.2550882200336932,0.0018708286933862208,0.00020736441353326292,96.16
1,0,229.9,0.4255,96.16,0.983,97.82245,1.0172883735440932,0.004424916805324459,-0.0010000000000000009,0.00029999999999996696,-0.4099999999999966,96.33599999999998,0.9822000000000001,0.4250999999999999,0.2661390613945242,0.0019235384061663807,0.00029154759474228945,94.2
1,0,229.2,0.4251,94.2,0.967,97.43292,1.0343197452229298,0.0045127388535031844,-0.016000000000000014,-0.00040000000000001146,-1.9599999999999937,95.896,0.9789999999999999,0.42512,0.9840884106623617,0.006964194138591971,0.00028635642126555774,93.84
