LoadType,Condition,Vrms,Irms,RealPower,PF,ApparentPower,SP_Ratio,CurrentPerWatt,PF_Drift,Current_Drift,Power_Drift,RollingMean_Power,RollingMean_PF,RollingMean_Current,RollingStd_Power,RollingStd_PF,RollingStd_Current,ActualPower,PredictedPower,PredictionError,HealthScore,HealthStatus,Diagnosis,MaintenanceAlert
0,0,232.6,0.0401,7.16,0.768,9.327259999999999,1.302689944134078,0.005600558659217877,0.016000000000000014,9.999999999999593e-05,0.21999999999999975,6.960000000000001,0.7516,0.04012,0.19300259065620143,0.01786896751353867,0.0001303840481038518,6.81,6.944947,0.1349467658996586,96.77634813448601,Healthy,Normal stable operation,System Normal
0,0,231.1,0.0401,6.93,0.748,9.267109999999999,1.3372453102453101,0.005786435786435786,-0.030000000000000027,9.999999999999593e-05,-0.25,7.0680000000000005,0.7668,0.03998,0.16021860066797658,0.01681368490248034,8.366600265309592e-05,6.93,7.0395246,0.10952455520629911,95.14503332946094,Healthy,Possible power factor degradation,System Normal
1,0,229.6,0.4248,96.36,0.988,97.53408,1.0121843088418432,0.004408468244084683,-0.0030000000000000027,-0.0005000000000000004,-1.2800000000000011,96.77000000000001,0.9869999999999999,0.425,0.49959983987176443,0.0026457513110631913,0.0003240370349204494,96.58,97.03188,0.45188323974609546,96.37360146508988,Healthy,Normal stable operation,System Normal
1,0,229.2,0.4247,94.15,0.967,97.34124,1.0338952734997344,0.004510886882634095,-0.015000000000000013,-0.0007999999999999674,-1.9199999999999875,96.39399999999999,0.9838000000000001,0.42506000000000005,1.4881800966280971,0.010686440005913638,0.000336154726280329,99.83,97.04443,2.7855664062499983,85.26903915392562,Healthy,Unexpected appliance behavior predicted,System Normal
2,3,223.4,0.4278,64.21,0.672,95.57052,1.4884055443077404,0.006662513627160879,0.01200000000000001,0.023799999999999988,4.659999999999997,60.814,0.6648,0.4095,2.032714933284995,0.0060991802727913625,0.01035132841716428,65.58,65.62194,0.041940612792970455,84.21111408371982,Mild Risk,Moderate load instability observed | Current instability increasing,MAINTENANCE REQUIRED
0,0,231.4,0.0403,8.4,0.901,9.325420000000001,1.1101690476190478,0.004797619047619048,0.020000000000000018,0.00010000000000000286,0.28000000000000114,8.27,0.8914,0.04022,0.12144957801491879,0.009659192512836604,4.4721359549375916e-05,8.39,8.146178,0.24382175445556697,96.30269138116886,Healthy,Possible power factor degradation,MAINTENANCE REQUIRED
1,0,232.3,0.4248,98.44,0.999,98.68104000000001,1.0024485981308413,0.004315318976026006,0.010000000000000009,-0.00019999999999997797,1.5600000000000023,96.862,0.9888000000000001,0.42504,1.151399148861752,0.007085195833562987,0.0002302172886707633,96.31,96.58636,0.2763571166992165,93.22162557458614,Healthy,Normal stable operation,MAINTENANCE REQUIRED
2,0,240.1,0.4014,61.78,0.641,96.37613999999999,1.5599893169310455,0.006497248300420848,0.03600000000000003,0.025099999999999956,10.439999999999998,62.83200000000001,0.6632,0.41644,6.843414352499774,0.03900256401827952,0.026758232378092377,62.08,61.034966,1.0450344848632795,58.446564044433046,Moderate Risk,High power fluctuation detected | Possible power factor degradation | Current instability increasing,MAINTENANCE REQUIRED
1,0,230.5,0.4249,96.27,0.983,97.93945,1.0173413316713409,0.004413628336968942,0.0030000000000000027,-0.00040000000000001146,-0.4200000000000017,96.16600000000001,0.9804,0.42523999999999995,0.9674089104406954,0.008619744775803576,0.00028809720581860783,96.32,95.63606,0.6839373779296807,93.91794410801458,Healthy,Normal stable operation,MAINTENANCE REQUIRED
1,0,231.5,0.4247,96.58,0.982,98.31805,1.017995961896873,0.004397390764133361,0.0030000000000000027,-0.00039999999999995595,0.6099999999999994,95.98400000000001,0.9792000000000002,0.42501999999999995,0.7359551616777058,0.005357238094390965,0.00031144823004886334,96.57,96.325195,0.24480468749999318,95.88863473814062,Healthy,Normal stable operation,MAINTENANCE REQUIRED
